Voltage Sep. (m),Voltage Locale (m),Current Locale (m),Voltage (mV),Current (mA)
3,1.5,4.5,5750,23
,,,5930,24
,,,5850,24
,,,5950,25
4.5,2.25,6.75,3650,30
,,,3690,30
,,,3670,30
,,,3710,30
6,3,9,1462,31
,,,1820,31
,,,1787,31
,,,1840,31
9,4.5,13.5,668,19
,,,821,19
,,,676,19
,,,825,19
13.5,6.75,20.25,439,26
,,,612,26
,,,446,26
,,,612,26
21,10.5,31.5,173,22
,,,258,22
,,,171,22
,,,258,22
30,15,45,211,28
,,,240,29
,,,210,28
,,,241,29
45,22.5,67.5,86,16
,,,132,16
,,,85,16
,,,132,16
60,30,90,97,23
,,,202,23
,,,96,23
,,,202,23
90,45,135,87,25
,,,140,26
,,,85,26
,,,138,26
135,67.5,202.5,4,10
,,,63,10
,,,5,10
,,,62,10
210,105,315,2,9
,,,42,10
,,,3,10
,,,43,10
300,150,450,1.5,7
,,,40,7
,,,2.5,8
,,,39,8